company,title,totalyearlycompensation,yearsofexperience,yearsatcompany,bonus,gender,Race,Education,state,country,basesalary
89.0,14.0,272000.0,22.0,5.0,201090.0,1.0,4.0,2         ,19.0,63.0,159000.0
89.0,11.0,215000.0,6.0,0.0,146330.0,1.0,0.0,2         ,149.0,63.0,155000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
12.0,14.0,175000.0,16.0,3.0,150280.0,0.0,4.0,0         ,149.0,63.0,150000.0
0.0,8.0,309000.0,10.0,1.0,146400.0,1.0,2.0,0         ,19.0,63.0,220000.0
1.0,11.0,222000.0,4.0,4.0,204080.0,1.0,0.0,2         ,161.0,63.0,164000.0
89.0,11.0,187000.0,5.0,0.0,138990.0,1.0,4.0,0         ,19.0,63.0,165000.0
89.0,11.0,300000.0,15.0,0.0,138940.0,1.0,4.0,2         ,57.0,63.0,160000.0
88.0,11.0,255000.0,6.0,2.0,145800.0,1.0,0.0,2         ,19.0,63.0,160000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
89.0,11.0,113000.0,3.0,3.0,146510.0,1.0,2.0,0         ,149.0,63.0,103000.0
1.0,11.0,136000.0,3.0,2.0,137700.0,1.0,3.0,0         ,161.0,63.0,124000.0
89.0,11.0,128000.0,3.0,1.0,143600.0,1.0,4.0,0         ,19.0,63.0,112000.0
89.0,11.0,310000.0,15.0,3.0,154800.0,1.0,0.0,0         ,161.0,63.0,160000.0
79.0,11.0,275000.0,10.0,3.0,149190.0,0.0,4.0,2         ,83.0,63.0,170000.0
89.0,11.0,215000.0,9.0,2.0,145800.0,1.0,0.0,2         ,161.0,63.0,155000.0
1.0,11.0,328000.0,12.0,0.0,146380.0,1.0,0.0,0         ,19.0,63.0,215000.0
89.0,11.0,187000.0,5.0,0.0,138990.0,1.0,4.0,0         ,19.0,63.0,165000.0
82.0,13.0,74000.0,17.0,0.0,146380.0,1.0,0.0,0         ,54.0,56.0,74000.0
2.0,11.0,400000.0,5.0,5.0,205760.0,1.0,0.0,3         ,19.0,63.0,210000.0
89.0,11.0,113000.0,3.0,3.0,10000.0,1.0,2.0,0         ,149.0,63.0,146510.0
1.0,12.0,441000.0,13.0,9.0,292490.0,2.0,4.0,2         ,161.0,63.0,185000.0
89.0,11.0,493000.0,10.0,0.0,146330.0,0.0,0.0,2         ,19.0,63.0,215000.0
